,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate
091_End_Avocado,0.4406974,0.55549955,0.23815809,0.65610987,0.16139553,0.5064859
157_End_NoAvocado,0.23654553,0.1865277,-0.19541505,0.41890547,-0.26067734,0.11055465
011_End_Avocado,-0.09274909,-0.017307397,0.2989633,-0.20795569,0.28209537,-0.22904007
005_End_Avocado,0.8203854,0.8395844,0.08587487,0.90912795,-0.30230227,0.32815844
006_End_Avocado,-0.2511953,-0.09289534,0.20236607,-0.13806348,0.36409515,0.28809378
102_End_Avocado,0.14094535,-0.060052373,-0.6812462,0.0013478994,-0.85255414,-0.5954639
086_End_NoAvocado,1.5865248,1.344762,-1.1952734,1.6257794,-1.9574883,0.09722905
160_End_NoAvocado,0.927802,1.0851542,0.075904936,1.1243364,-0.11697374,0.9567091
012_End_Avocado,-0.07021258,-0.09716333,-0.32908022,-0.035152093,-0.32101429,0.015416605
151_End_NoAvocado,-0.08408244,-0.027840707,0.4232157,-0.2539512,0.4189392,-0.16253978
041_End_NoAvocado,0.46535772,0.6903748,0.43510014,0.73016024,0.36449078,0.7409366
170_End_Avocado,-0.7997749,-0.9642511,-0.5144572,-0.7704756,-0.13797578,-0.44508466
131_End_NoAvocado,0.09210917,0.15551573,-0.6688516,0.31745702,-0.6413771,0.39404568
172_End_NoAvocado,0.40102646,0.41668501,-0.4886492,0.53882074,-0.6622343,0.2234984
073_End_Avocado,-0.016232248,0.14957857,0.31603563,0.16330883,0.38173863,0.41778964
066_End_Avocado,0.020089705,0.13847303,0.45202565,0.25601938,0.50908726,0.34279487
127_End_Avocado,0.7079774,0.7166045,0.09036956,0.7911944,-0.14499635,0.38885665
093_End_NoAvocado,0.111774236,0.16599995,-0.046766628,0.31117105,-0.06910686,0.29402494
062_End_NoAvocado,-0.1444764,0.29340476,0.98124546,0.14742154,1.1482784,0.872106
101_End_Avocado,0.37397602,0.3487485,0.034361724,0.48364428,-0.14088623,0.1352272
056_End_Avocado,0.6093583,0.79369855,-0.050443694,0.93551177,-0.083798006,0.915102
050_End_Avocado,0.18802011,0.15937358,-0.057885796,0.2953976,-0.080691576,0.1537872
163_End_Avocado,0.48898697,0.4349504,0.057087183,0.29149845,-0.30385578,-0.3828916
017_End_Avocado,0.93403673,0.90339345,-0.38565752,0.97915727,-0.8036897,0.3037394
082_End_NoAvocado,0.62507343,0.6055844,-0.82065547,0.81665814,-1.0695359,0.2929253
047_End_Avocado,-0.07242556,0.14118856,0.2519564,0.07785952,0.3779831,0.550727
028_End_NoAvocado,-1.1128006,-1.2523723,-0.8097285,-1.1085901,-0.25517023,-0.5137336
