,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate
092_End_Avocado,-0.6226022,-1.2900522,-0.64264274,-1.710027,-0.031390805,-0.16135664
003_End_NoAvocado,0.7144247,1.3700203,-0.08134006,0.71737695,0.1004166,0.819018
143_End_NoAvocado,-0.04864399,-0.39282048,0.14797843,-0.7564401,0.25409323,-0.068115115
027_End_NoAvocado,0.6584117,1.2188957,2.1027436,1.5155332,2.7327032,2.4961283
107_End_NoAvocado,-0.9521793,-0.3787848,0.22424206,-0.2868004,0.28349403,-0.25519496
077_End_NoAvocado,-0.6947642,0.07584548,-0.07188914,-0.6633183,0.25636986,-0.12949134
016_End_NoAvocado,1.0683374,1.505765,1.7799639,0.6693312,1.34346,0.7943594
109_End_NoAvocado,-0.91687226,-0.72310895,-1.1018672,0.18518609,-1.3521266,-0.43735892
019_End_NoAvocado,0.23625861,1.0142199,0.72408617,0.4545768,-0.031390805,0.24122983
094_End_Avocado,1.3060955,0.9949256,0.5814161,0.8730338,-0.6079695,-0.07211376
134_End_Avocado,1.9889885,1.6840057,0.6490689,2.279258,0.80598736,1.2578197
103_End_NoAvocado,-0.5959475,-0.114122555,-0.513643,-0.23442586,-1.1214099,-0.15920664
155_End_Avocado,-0.32595006,-0.4059875,0.18254344,0.10330648,0.6030645,0.30933282
008_End_NoAvocado,-0.42981932,-0.31287637,0.082972586,-0.11244115,0.9569518,0.17081895
065_End_NoAvocado,-0.17925815,0.34149772,0.23401318,-0.22564256,0.4741971,0.4151381
162_End_Avocado,1.3397197,2.8579428,0.048365794,1.6798363,-0.62538046,0.9739751
176_End_NoAvocado,0.41191363,0.07118088,-0.24323986,0.33254346,-0.23777826,0.08563532
044_End_NoAvocado,-0.67110103,-0.8188396,-1.207992,-0.9276644,-1.4859686,-0.43735892
081_End_Avocado,0.1746355,-0.16739511,-0.020877685,-0.74091756,0.42239448,-0.40028828
052_End_Avocado,2.2271788,1.0776187,-3.6165524,1.9785814,-5.6090446,-1.1514035
060_End_NoAvocado,-1.0780852,-0.64803386,-0.4438931,-0.9013077,-0.12238966,-0.27390236
084_End_NoAvocado,-0.25430652,-0.21513043,-1.2127686,0.27422342,-2.6036336,0.0696614
013_End_NoAvocado,-0.3067841,-0.08163177,-0.50437206,0.5590401,-2.0802846,-0.18965097
104_End_Avocado,0.3793691,-0.6900544,-0.3155874,-0.18965945,-1.0129904,-0.37702894
115_End_NoAvocado,-1.9113827,-2.0902305,-0.92445976,-3.5619318,-0.6713526,-1.4650557
180_End_Avocado,-0.6689533,-0.51998836,0.5782724,-0.38458872,1.2291571,0.21608567
