,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate
092_End_Avocado,-0.3175574,-0.4426956,0.09052171,-0.3361147,0.20562202,0.019577656
003_End_NoAvocado,-0.6380334,0.020741787,0.3466741,-0.104805544,0.7793782,0.63814324
143_End_NoAvocado,-0.476981,-0.27318525,0.8830736,-0.8934277,0.7013015,-0.44055003
027_End_NoAvocado,0.23951212,0.67291355,0.6699117,0.42853165,0.74727887,0.6617889
107_End_NoAvocado,-0.14953095,-0.4097623,0.094682865,-0.13845348,0.23098113,-0.03257129
077_End_NoAvocado,-0.23999536,0.27390155,0.16846521,0.036405735,0.17355287,0.41195193
016_End_NoAvocado,0.7770191,0.26952082,0.9250489,0.7937291,1.3613786,0.91184485
109_End_NoAvocado,0.19560441,0.18125996,0.27048814,0.31674558,0.2585749,0.27945164
019_End_NoAvocado,0.19112727,0.33306032,-0.8993184,0.30699426,-0.800991,0.27492958
094_End_Avocado,1.0607023,1.0671037,0.61606973,0.69278556,-0.1346302,0.12233552
134_End_Avocado,1.5389307,1.682588,-0.7353374,1.7533956,-1.348596,0.6226021
103_End_NoAvocado,-0.24282822,-0.10461584,-0.24783853,-0.27693433,-0.36250186,-0.3178974
155_End_Avocado,-0.4616366,-1.0152953,-0.106590904,-0.8554122,-0.044087254,-0.43789876
008_End_NoAvocado,0.031360097,-0.50151557,-0.34350947,0.057879288,0.06268661,0.20577724
065_End_NoAvocado,0.48319322,0.82153875,0.16255312,0.7548581,-0.118838176,0.6356565
162_End_Avocado,0.4872085,0.4588322,0.36559558,0.58582115,0.45121992,0.48897678
176_End_NoAvocado,0.2534281,0.52917445,0.29636896,0.50867254,0.3612976,0.76657003
044_End_NoAvocado,0.58916247,0.32671112,0.123378836,0.6052716,0.16878806,0.45073146
081_End_Avocado,-0.23707256,-0.24282502,-0.37514868,-0.20757192,-0.31109563,-0.09864454
052_End_Avocado,0.67850983,0.7415921,0.13339263,0.8739913,-0.19261043,0.5706092
060_End_NoAvocado,0.31021392,0.7000224,0.0027206056,0.5811081,-0.24134591,0.45751002
084_End_NoAvocado,0.0911943,0.5348882,-0.12888847,0.4472321,-0.27719164,0.8011297
013_End_NoAvocado,-0.34454283,-0.04502905,-0.037405424,-0.07592077,0.047964208,0.17146817
104_End_Avocado,0.25035048,-0.31691283,0.13086195,-0.023180876,0.17966303,-0.0959341
115_End_NoAvocado,-1.9466146,-2.6860204,-0.93528944,-2.2558966,-0.49040726,-1.127805
180_End_Avocado,-0.31486347,-0.44525865,0.07183114,-0.41269866,0.11242053,-0.11537506
