,Avocado
Unassigned_s,-0.027679037
g_Methanobrevibacter_s,0.0007308238
g_Methanosphaera_s_,-0.027745893
g_Methanothermobacter_s_tenebrarum,-0.0100804195
Bacteria_s,-0.0037447102
Bacteria_p_c_o_f_g_s_,-0.032710556
f_Actinomycetaceae_g_s_,-0.029791772
g_Actinomyces_s,-0.016194958
g_Actinomyces_s2,-0.0029629588
g_Varibaculum_s,-0.03420729
g_Corynebacterium_s_durum,-0.029960776
g_Corynebacterium_s_variabile,-0.029834386
g_Rothia_s_mucilaginosa,-0.035420638
f_Propionibacteriaceae_g_s_,-0.0054671373
g_Bifidobacterium_s,0.030220764
g_Bifidobacterium_s2,0.015235717
g_Bifidobacterium_s_adolescentis,0.0009482249
g_Bifidobacterium_s_animalis,-0.015977595
g_Bifidobacterium_s_bifidum,0.009198833
f_Coriobacteriaceae_s,0.010465311
f_Coriobacteriaceae_g_s_,-0.0035306402
g_Adlercreutzia_s_,0.016916439
g_Atopobium_s_,-0.0059370194
g_Collinsella_s_,-0.018587343
g_Collinsella_s_aerofaciens,0.00439745
g_Collinsella_s_stercoris,-0.008441501
g_Eggerthella_s_lenta,-0.0025969222
g_Olsenella_s_umbonata,-0.014130691
g_Paraeggerthella_s_hongkongensis,-0.027846519
g_Slackia_s_,-0.006953954
o_Bacteroidales_s,-0.030421661
o_Bacteroidales_f_g_s,0.012815092
g_Bacteroides_s,-0.014750897
g_Bacteroides_s2,0.001567534
g_Bacteroides_s_acidifaciens,-0.030802758
g_Bacteroides_s_caccae,0.028147222
g_Bacteroides_s_coprophilus,-0.008184323
g_Bacteroides_s_eggerthii,-0.005552232
g_Bacteroides_s_fragilis,-0.033716764
g_Bacteroides_s_ovatus,0.0049468814
g_Bacteroides_s_plebeius,0.003331984
g_Bacteroides_s_uniformis,0.027973963
g_Parabacteroides_s,-0.012979008
g_Parabacteroides_s2,0.030598672
g_Parabacteroides_s_distasonis,0.00054828794
g_Parabacteroides_s_gordonii,-0.020328308
g_Porphyromonas_s,-0.035336364
g_Porphyromonas_s2,-0.010646444
g_Porphyromonas_s_endodontalis,-0.022956347
f_Prevotellaceae_g_s_,-0.015037409
g_Prevotella_s,-0.025453424
g_Prevotella_s2,0.0097595975
g_Prevotella_s_copri,-0.027915243
g_Prevotella_s_stercorea,0.0067333174
f_Rikenellaceae_s,0.007616163
f_Rikenellaceae_s2,0.025554385
f_Rikenellaceae_g_AF12_s_,0.0046328795
g_Alistipes_s_indistinctus,0.015681779
g_Alistipes_s_massiliensis,-0.015425028
g_Alistipes_s_onderdonkii,-0.0017512135
g_Alistipes_s_putredinis,0.02050892
f_Rikenellaceae_g_human_s_gut metagenome,-0.02380914
f_S24_7_g_s,-0.0021149344
f_Barnesiellaceae_s,-0.009854214
f_Barnesiellaceae_g_s,0.0043448554
g_Barnesiella_s,-0.029541483
g_Barnesiella_s_intestinihominis,-0.032258015
g_Butyricimonas_s,-0.012219864
g_Odoribacter_s,0.03707537
f_Paraprevotellaceae_g_s,0.011217065
g_CF231_s,-0.022750506
g_Paraprevotella_s,0.010237452
g_Prevotella_s.1,-0.035656985
o_YS2_f_g_s,0.020965122
o_Streptophyta_f_g_s,-0.02629698
f_Elusimicrobiaceae_g_s,-0.009557609
p_Firmicutes_s,-0.03403093
g_Bacillus_s_clausii,-0.033397038
