,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate
174_End_Avocado,-0.44377324,0.26088992,0.45409894,0.17089029,0.9793431,0.73296213
048_End_NoAvocado,0.79248303,1.2305832,-0.5587522,2.222163,-0.7751925,1.0137513
034_End_Avocado,-0.853182,-1.9846325,-0.5192803,-2.2920582,-0.5993431,-0.60377353
165_End_Avocado,0.4418737,0.6222386,0.7302679,1.0119504,1.1318207,0.593458
055_End_Avocado,-1.2699308,-2.7625716,-0.73158056,-1.9223748,-0.25704548,-0.9573888
090_End_Avocado,1.293395,0.97605217,0.9216358,0.7614434,1.2846961,0.6248728
083_End_Avocado,-0.14647833,0.7588199,-0.7559978,0.72089195,-1.4451206,-0.26158014
161_End_Avocado,-0.35715586,-0.26455864,0.15259933,-0.29176453,0.14923501,0.3872999
033_End_Avocado,0.5385709,-0.25278994,1.0060923,0.9812197,0.71757036,0.76697654
133_End_NoAvocado,-0.94024825,-1.2489198,-0.7075607,-1.4377015,-0.59619135,-0.5420892
113_End_Avocado,0.14219537,0.06081193,0.15259933,-0.7939502,-0.48049447,-0.33679113
026_End_NoAvocado,-1.6528691,-0.76316935,0.3728833,-0.49835148,0.07611824,0.08905216
009_End_NoAvocado,-0.24019407,0.73282254,0.31444362,0.39266637,1.0205964,0.6500899
112_End_Avocado,0.9436606,0.6639488,0.33642074,1.7604496,-0.65382224,-1.2207406
166_End_NoAvocado,0.4381952,-0.20171323,-0.51628727,0.24177997,-0.9946196,-0.06210945
183_End_Avocado,-1.3246013,-1.718236,-0.4721052,-0.9650258,0.08038074,-0.6158825
139_End_Avocado,0.7555751,0.8589859,0.52665955,0.59043276,-0.46875462,0.6673318
074_End_Avocado,0.4750431,-0.636208,-0.43202862,0.15349361,-0.571182,-0.29861
175_End_NoAvocado,0.5565795,0.37375537,0.607038,1.6079333,0.8493223,1.3212882
119_End_Avocado,-0.6646459,-2.2176971,-0.75248474,-2.8019052,-0.44551158,-1.1815464
007_End_NoAvocado,-2.2116983,-1.1254461,-0.74199563,-0.38401484,0.02413071,-0.34408414
061_End_NoAvocado,-0.06270786,0.23743096,0.06045643,0.25866565,0.4779355,0.25096798
118_End_Avocado,0.24171323,0.35309353,0.12574887,-0.12729205,-0.37482905,0.6937968
100_End_NoAvocado,-0.64619416,0.98852324,0.5457127,-0.07255686,0.59875315,0.023953566
148_End_NoAvocado,-0.38299057,-0.20711973,0.24290687,-0.6178114,0.30371082,-0.42730284
132_End_NoAvocado,-0.20574847,1.0289716,0.32631811,0.24633558,0.52135414,-1.3030933
036_End_NoAvocado,0.72607297,0.95486593,0.03392076,1.1304619,-1.3067037,0.18779078
